Comment,Designator,Footprint,LCSC
USB_C_Receptacle,J2,TYPE-C-31-M-04,C129018
10R,"R5,R6",R_0603_1608Metric,C22859
DDTC114ECA-7-F ,Q1,SOT-23,C260852
BAV21W_RHG,D1,DIO_BAV21W_RHG,
120R,R8,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
120R,R7,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
RJ45,J3,RJ45_Amphenol_54602-x08_Horizontal,
FSV20100V,CR1,TO-277,
5018762640,J1,JST_PHD_B26B-PHDSS_2x13_P2.00mm_Vertical,
1K,R4,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
G6K-2P-Y_DC5,K1,RELAY_G6K-2P-Y_DC3,
120R,R1,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,
